Feature,Importance
arrival_date_month,18.10799454601334
agent,12.164890546319736
hotel,9.249931051686497
lead_time,9.190523835511106
market_segment,7.3549842529575375
reserved_room_type,7.102485292836997
meal,6.605714698964157
deposit_type,5.415434053063954
arrival_season,3.9330815016638856
total_stay,3.7657440893200085
adults,3.237050112245555
booking_changes,2.9559108482647556
country,2.362066087764511
customer_type,2.0353154641506843
distribution_channel,1.6201114233942746
children,1.497760923993385
stays_in_week_nights,1.096667340120674
total_of_special_requests,0.7032936864842839
stays_in_weekend_nights,0.6522949114249275
required_car_parking_spaces,0.41451500615854575
