feature,importance
target__country,13.930460145346936
target__agent,9.37973891889043
numeric__lead_time,9.163561781613671
numeric__arrival_date_year,5.49229459288954
numeric__total_of_special_requests,5.260871190451453
numeric__arrival_date_day_of_month,5.080926844120166
numeric__required_car_parking_spaces,4.555827147839164
numeric__adr_per_person,4.32522219838006
numeric__adr,4.2702226341633125
numeric__previous_cancellations,4.001090116920997
numeric__arrival_date_week_number,3.7433484483085397
numeric__total_stay,3.0954266027792308
onehot__market_segment_Online TA,2.659419763265535
onehot__deposit_type_No Deposit,2.5341160454820284
numeric__stays_in_weekend_nights,2.4318291782785035
numeric__stays_in_week_nights,2.389804059420622
onehot__customer_type_Transient-Party,2.045709285730938
onehot__customer_type_Transient,2.0352887886311795
onehot__deposit_type_Non Refund,1.6807189156663151
onehot__market_segment_Offline TA/TO,1.1026583365837936
