feature,mean_abs_shap
country,1.9960218085975787
total_of_special_requests,0.863864582250089
agent,0.8401189398376337
lead_time,0.6826716006144107
required_car_parking_spaces,0.5957604080119759
previous_cancellations,0.5474184446275997
deposit_type_No Deposit,0.3724571316752822
deposit_type_Non Refund,0.32629744071406647
arrival_date_year,0.32201893926521163
customer_type_Transient,0.3074970630407677
customer_type_Transient-Party,0.2980564535229541
market_segment_Online TA,0.2700535004447036
adr,0.14199911557038852
market_segment_Offline TA/TO,0.13169706960625102
arrival_date_week_number,0.12116033159545596
adr_per_person,0.10971445145520332
arrival_date_day_of_month,0.09472109520372272
previous_bookings_not_canceled,0.09181431067581886
total_stay,0.07992550226485384
hotel_Resort Hotel,0.07137372874108966
stays_in_weekend_nights,0.06261615241102116
distribution_channel_TA/TO,0.060871253674979926
stays_in_week_nights,0.05828037006826807
adults,0.054267283731984355
hotel_City Hotel,0.05333443643123795
arrival_date_month_July,0.035635339810202483
market_segment_Groups,0.03561489859983778
meal_BB,0.03307763776713619
arrival_season_Summer,0.03012875468600024
is_repeated_guest,0.028114901942118378
meal_SC,0.020600415480495883
market_segment_Corporate,0.020484977017043788
children,0.019830340949249434
distribution_channel_Direct,0.018763675243463007
arrival_date_month_March,0.01769083693944247
arrival_season_Spring,0.016128640960862212
days_in_waiting_list,0.015490876173082741
market_segment_Direct,0.014870640672807302
arrival_season_Winter,0.014126776412761563
arrival_date_month_August,0.012834168533546828
distribution_channel_Corporate,0.012580293545126324
arrival_date_month_September,0.012456104239529284
arrival_date_month_April,0.012296692415696017
arrival_date_month_May,0.011670720376360917
customer_type_Contract,0.01159189569710553
arrival_date_month_October,0.011589942978501609
meal_HB,0.011336982064087488
arrival_date_month_June,0.010027604518996891
meal_Undefined,0.009606417201572804
arrival_date_month_February,0.008225468348372712
arrival_season_Fall,0.008131260195022895
arrival_date_month_November,0.004141707522561805
babies,0.0032091546256707106
arrival_date_month_December,0.001939562000749886
meal_FB,0.0018389348898258122
market_segment_Complementary,0.0014525834361774786
market_segment_Aviation,0.0011010649755653003
deposit_type_Refundable,0.0008903626619474496
distribution_channel_GDS,0.0008769208549842999
arrival_date_month_January,0.0007925980983716209
distribution_channel_Undefined,0.00018776442952479387
customer_type_Group,1.633913893616471e-05
market_segment_Undefined,2.113011608542717e-06
