Feature,SHAP_Importance
arrival_date_month,12.184892287352032
deposit_type,11.54404409998016
agent,10.538702084692579
market_segment,10.182241653920581
total_stay,7.975502634646133
customer_type,7.354388899819264
country,7.129838996136377
arrival_season,6.088102469818129
stays_in_week_nights,4.964566900409175
meal,4.3411282883024205
adults,4.086679364816953
reserved_room_type,3.4571668713546906
previous_cancellations,3.4316845298491465
distribution_channel,2.978179799971313
total_of_special_requests,2.8071366531225816
hotel,2.452059413750104
booking_changes,1.9911411809202504
stays_in_weekend_nights,1.9236598118716444
required_car_parking_spaces,1.0076187573473818
children,0.5074892579381639
